"","Total.Compensation","GP","GS","G","A","SHTS","SOG","FS","OFF"
"615",157667,3,3,0,0,2,1,4,0
"616",55650,0,0,0,0,0,0,0,0
"617",55650,0,0,0,0,0,0,0,0
"618",128500,5,2,0,0,2,0,1,0
"619",131250,4,3,0,0,0,0,6,0
"620",131250,0,0,0,0,0,0,0,0
"621",2e+05,25,20,0,2,5,1,12,0
"622",1668750,21,9,2,2,20,5,3,2
"623",60750,1,0,0,0,2,0,0,0
"624",845885,1,0,0,0,0,0,0,0
"625",69922,1,0,0,0,0,0,0,0
"626",183333,23,5,2,0,18,6,5,4
"627",298375,30,30,2,4,9,3,21,0
"628",525004,34,34,2,0,17,6,8,0
"629",140000,0,0,0,0,0,0,0,0
"630",67500,1,0,0,0,0,0,0,0
"631",67500,0,0,0,0,0,0,0,0
"632",260000,32,30,11,4,68,33,31,13
"633",122500,19,5,2,0,9,7,5,3
"634",2e+05,0,0,0,0,0,0,0,0
"635",2e+05,10,4,0,0,3,0,2,0
"636",115935,4,4,1,0,2,1,1,0
"637",115935,29,29,1,2,16,7,13,1
"638",113125,5,4,0,0,1,1,0,1
"639",487929,32,31,5,13,66,19,61,2
"640",147500,0,0,0,0,0,0,0,0
"641",147500,1,1,0,0,0,0,0,0
"642",640000,33,33,4,3,30,12,25,2
"643",170000,14,6,0,0,9,3,17,0
"644",67500,4,3,0,0,1,0,0,0
"645",67500,0,0,0,0,0,0,0,0
"646",240950,0,0,0,0,0,0,0,0
"647",240950,0,0,0,0,0,0,0,0
"648",68902,12,9,0,3,7,2,20,1
"649",353333,13,9,1,0,5,2,9,0
"650",203175,18,4,3,0,20,12,5,7
"651",70234,10,5,0,0,1,1,4,0
"652",153542,4,4,0,1,3,0,6,0
"653",153542,27,26,0,7,13,1,47,0
"654",194256,11,10,1,0,5,3,9,1
"655",137000,23,14,2,1,19,8,23,2
"656",75000,0,0,0,0,0,0,0,0
"657",75000,1,0,0,0,0,0,1,0
"658",270000,13,10,0,0,1,1,2,0
"659",1087500,2,2,0,1,6,3,6,1
"660",1087500,19,14,5,6,47,15,31,3
"661",182500,27,25,1,2,12,3,16,0
"662",1500000,21,19,8,9,29,15,22,2
"663",69921,0,0,0,0,0,0,0,0
"664",69921,9,5,0,2,7,2,10,0
"665",235000,26,26,4,1,24,8,7,0
"666",153000,17,6,0,1,3,1,11,1
"667",171667,11,5,0,1,1,0,4,0
"668",171667,1,0,0,0,0,0,0,2
"669",550004,3,3,0,0,1,0,3,0
"670",550004,30,29,1,1,8,3,30,0
"671",544000,31,22,4,4,36,12,30,0
"672",351667,1,0,0,0,1,0,0,0
"673",351667,29,19,7,5,37,18,21,19
"674",470004,28,26,1,1,33,13,34,2
"675",54500,7,4,0,0,0,0,1,0
"676",520523,30,27,9,8,45,19,82,7
"677",2e+05,3,3,0,0,2,2,6,0
"678",2e+05,15,13,0,4,21,7,39,0
"679",907500,17,9,2,0,23,7,21,10
"680",341250,13,10,1,1,4,2,6,0
"681",680004,32,19,3,3,49,14,16,2
"682",680004,4,1,0,0,0,0,1,0
"683",533700,26,21,6,11,43,17,45,2
"684",2073750,4,0,0,0,1,0,0,0
"685",83906,5,2,0,0,0,0,5,0
"686",343250,0,0,0,0,0,0,0,0
"687",130000,6,5,0,0,0,0,4,0
"688",130000,32,30,0,1,12,0,13,1
"689",1500000,27,24,22,10,116,49,34,27
"690",1e+06,27,21,5,7,34,12,7,0
