"","Total.Compensation","GP","GS","G","A","SHTS","SOG","FS","OFF"
"386",54500,2,1,0,0,0,0,1,0
"387",111250,33,33,4,14,65,21,11,5
"388",111250,5,5,0,1,6,1,3,1
"389",150000,21,18,0,1,16,6,9,2
"390",150000,0,0,0,0,0,0,0,0
"391",139500,20,17,0,2,7,2,14,0
"392",291700,33,33,0,0,11,5,17,0
"393",291700,2,0,0,0,0,0,0,0
"394",578758,26,21,2,4,56,15,21,17
"395",578758,3,3,0,0,4,2,2,3
"396",3e+05,21,20,1,3,8,5,18,3
"397",120763,32,31,1,3,31,10,14,1
"398",1e+06,28,24,14,6,88,34,44,15
"399",3e+05,25,20,3,5,30,7,25,0
"400",575000,26,24,0,5,11,2,6,0
"401",575000,2,2,0,0,1,0,1,0
"402",258000,27,18,1,2,35,8,26,2
"403",255600,28,27,2,1,15,6,13,2
"404",255600,2,2,0,0,1,0,2,0
"405",54500,24,18,0,0,12,4,30,0
"406",604167,26,26,3,2,33,9,8,3
"407",158333,22,19,2,4,10,3,13,1
"408",68915,15,11,1,0,3,1,4,0
"409",179250,1,0,0,0,1,0,1,0
"410",179250,27,2,2,1,10,7,3,1
"411",477504,2,2,2,1,4,3,3,2
"412",68254,4,0,0,0,2,0,1,0
"413",68254,0,0,0,0,0,0,0,0
"414",119745,20,15,2,5,36,10,18,1
"415",119745,3,2,0,0,2,1,0,2
"416",67500,3,3,0,0,0,0,0,1
"417",133125,11,10,0,0,8,0,2,0
"418",89500,15,14,0,0,5,1,6,0
"419",67500,2,2,0,0,0,0,0,1
"420",1007667,24,8,1,3,27,10,14,6
"421",1007667,1,0,0,0,1,0,0,0
"422",55654,6,1,0,0,1,0,1,0
"423",55654,0,0,0,0,0,0,0,0
"424",530008,3,3,0,0,3,0,3,0
"425",530008,31,29,1,1,23,5,25,1
"426",54500,0,0,0,0,0,0,0,0
"427",54500,4,4,0,1,1,0,3,0
"428",55654,0,0,0,0,0,0,0,0
"429",58500,0,0,0,0,0,0,0,0
"430",58500,0,0,0,0,0,0,0,0
"431",75750,23,20,1,0,9,3,7,0
"432",75750,1,0,0,0,0,0,0,0
"433",99000,6,0,0,0,3,1,5,2
"434",99000,0,0,0,0,0,0,0,0
"435",855000,16,15,1,0,4,2,4,0
"436",793333,31,31,5,1,26,11,10,0
"437",793333,4,4,0,0,1,1,1,0
"438",84375,30,18,5,6,49,20,53,13
"439",661667,22,22,3,0,24,10,10,1
"440",200004,22,18,1,0,8,2,4,0
"441",200004,4,0,0,0,1,1,0,0
"442",5e+05,25,20,3,5,21,6,39,1
"443",72500,10,7,0,0,5,2,4,0
"444",7e+05,13,13,0,0,1,1,16,1
"445",7e+05,6,6,0,0,5,2,2,2
"446",55750,4,0,0,0,0,0,0,0
"447",1050000,4,0,0,0,1,1,2,0
"448",1050000,7,1,1,1,5,4,3,0
"449",652000,33,32,10,17,60,23,63,10
"450",3e+05,30,29,1,4,35,9,65,4
"451",54500,18,6,0,0,11,2,8,2
"452",54500,2,1,0,0,1,1,0,0
"453",68500,13,11,0,1,6,1,8,0
"454",67500,12,3,0,0,5,3,2,0
"455",233667,1,1,0,0,1,0,2,1
"456",233667,19,9,5,0,30,16,7,5
"457",353313,11,8,0,1,12,2,8,10
"458",173250,2,2,0,0,2,0,3,0
"459",173250,2,1,0,1,0,0,3,0
"460",54500,3,0,0,0,2,1,0,1
"461",4e+05,32,29,6,3,52,20,81,2
"462",140004,6,5,0,0,0,0,2,0
"463",976167,3,0,0,0,0,0,3,0
"464",976167,24,16,2,7,22,7,26,0
"465",160000,19,17,0,3,10,3,11,0
"466",711875,18,18,0,0,4,2,10,0
"467",711875,2,2,0,0,0,0,0,0
"468",305328,2,1,0,0,2,0,0,0
"469",64500,11,6,0,0,0,0,5,0
"470",64500,0,0,0,0,0,0,0,0
"471",55654,13,8,1,2,10,3,7,1
"472",64500,19,18,0,0,5,1,7,0
